Category,2016,2017,2018,2019,2020,2021,2022,2023,2024,Avg_Growth,Avg_Contribution
Agriculture - Agriculture,4.106746172323068,3.445211888160033,2.1226028113425404,2.362246238129334,2.169392844620933,2.1268516351495177,1.8820076880336094,1.128367494226555,1.1881421567213872,2.2812854365229978,25.041352385736342
Manufacturing - Oil & Gas,-14.447675103022576,4.720651051962714,1.007333300882654,4.434217241456681,-8.537970528816324,-7.787718716412889,-18.164993609501682,-2.844628747273607,4.845474703171504,-4.086145600839281,7.749292432205718
Manufacturing,-4.317635435953572,-0.21160200144633465,2.094063302167726,0.7669326004711147,-2.7549363461976077,3.348365018696782,2.447369049174555,1.4046229714059337,1.3841984255455058,0.4623752870960114,9.060138526925549
Power,-14.99892468393802,16.431849706781612,7.295939795769558,-4.860381696989503,-2.9014402016861696,27.569181507773127,-2.20921167574817,5.5625050053735565,0.5641839555035822,3.605966856982175,0.4133814969363015
"Water Supply, Waste Mgmt. & Remediation",9.26640723179961,4.162597074600708,7.212720762589416,5.46893637162171,3.8142594292913405,18.335097556032895,13.623367192163146,12.645968853367975,8.404700858462334,9.214895036658794,0.19142056033981952
Construction,-5.945931969662141,0.9972476847095281,2.329012260733088,1.813710966754361,-7.684104205984959,3.0901882256090403,4.537297116766383,3.567169518512857,1.144562879296921,0.4276836085261197,3.6329481036086904
Services - Trade,-0.24386455420672223,-1.0507763726830492,-0.6292382279563268,-0.3768931297423816,-8.493433289365743,8.615871662979952,5.129924875702649,1.6550389169068498,0.9462444757652276,0.6169860397111617,16.13566628813947
Accommodation & Food Services,-5.318751936289106,-1.6069197593364917,1.75973655349179,2.848820761809291,-17.751793237866746,-0.4473136553676075,4.217525415979881,3.4630999996895238,3.5167311506513124,-1.0354294119153502,0.8201072545064122
Transportation & Storage,0.39003633868290927,3.8646481241607846,13.906655325073416,10.72816612186477,-22.261183699108486,16.252346304829164,15.200865001799896,-30.168034904714563,6.527193719949147,1.604521370281893,1.2452664089120107
Information and Communication,1.953583495656339,-1.0409016478478434,9.6537521699995,9.17327357634958,13.181846253033939,6.547541398840201,9.761881256850764,7.911589202447473,5.415701941945763,6.95091862747508,14.143742441474808
"Arts, Entertainment & Recreation",3.7152323386701562,4.127399134233631,2.525140879997953,4.122472058169269,-3.003657347348823,1.7248939547466906,4.290082806764028,4.2759899107799395,3.732055774239936,2.8344010566947535,0.22249375540510488
Financial and Insurance,-4.538097142949685,1.2571830020464012,2.029940216712127,2.564213553639093,9.369580836479331,10.069450076113034,16.358057449643933,26.532977465508882,29.570115264521924,10.357046746857227,3.721777964420589
Real Estate,-6.858729498238882,-4.2665219845293265,-4.74032749298291,-2.3594457051361295,-9.224211633394704,2.257903529749771,3.947296468032039,1.6751913244193852,0.7885868477410005,-2.0866953493710843,6.215785567164886
"Professional, Scientific and Technical Services",0.8035558668412117,-0.26088636173334706,0.5716342579143618,0.12422961655880838,-7.918693006359187,0.05257284191198264,2.2796103873160525,2.425856921868298,1.3480649238593148,-0.06378383909138947,3.44414268424428
�Administrative & Support Services,-0.6855064643632628,0.6382719699473034,-0.17709881450247678,1.9583986571455572,-2.750057899887867,2.565162674473658,3.159658669978651,0.6231637922100886,1.0393898922366787,0.7079313863598146,0.020490506919157794
Public Administration,-4.575986015612349,-0.3757969605632019,-2.048946625155715,-4.0064088773265905,0.09762890038547911,-0.30106021737760785,1.9015745081474216,2.119086907991862,2.1863474345051555,-0.5559512161117274,2.1320380573256825
Education,1.34956391878792,-0.7209204982162872,-0.02796583640055813,0.8025790955188221,-13.57353949412541,-0.7492351483783388,1.347434474928108,1.3087292575058076,1.9793984113644123,-0.9204395354461694,1.9810627559814964
Human Health and Social Services,-1.785225767622304,-0.3053963715865355,-0.32381681692409253,0.3116490403248142,2.2274740598281926,4.929765093801715,4.199788106668918,2.784983928144182,2.8608490050400075,1.6555633641860998,0.6957829725683004
Other Services,4.931118644297855,2.351053536072556,2.1681142157538194,1.9021854818431567,-5.778318611615936,-0.1608395362295765,1.0723195223529307,-5.67838201001982,-7.1736018228085205,-0.7073722867059483,3.1331098371853763
